# terminal-result total mapping table (issue #1273) — GENERATED by lib/generate-terminal-result-table.py; do not hand-edit.
# columns: tier<TAB>arg1<TAB>arg2<TAB>terminal_class<TAB>conclusion (arg1/arg2 sentinel <empty> = empty string; review arg2 - = n/a).
implement	complete	success	complete	success
implement	complete	failure	complete	success
implement	complete	cancelled	incomplete	non-success
implement	complete	<empty>	complete	success
implement	blocked	success	blocked	non-success
implement	blocked	failure	blocked	non-success
implement	blocked	cancelled	incomplete	non-success
implement	blocked	<empty>	blocked	non-success
implement	failed	success	incomplete	non-success
implement	failed	failure	incomplete	non-success
implement	failed	cancelled	incomplete	non-success
implement	failed	<empty>	incomplete	non-success
implement	cancelled	success	incomplete	non-success
implement	cancelled	failure	incomplete	non-success
implement	cancelled	cancelled	incomplete	non-success
implement	cancelled	<empty>	incomplete	non-success
implement	terminal	success	incomplete	non-success
implement	terminal	failure	incomplete	non-success
implement	terminal	cancelled	incomplete	non-success
implement	terminal	<empty>	incomplete	non-success
implement	interim	success	incomplete	non-success
implement	interim	failure	incomplete	non-success
implement	interim	cancelled	incomplete	non-success
implement	interim	<empty>	incomplete	non-success
implement	unreadable	success	incomplete	non-success
implement	unreadable	failure	incomplete	non-success
implement	unreadable	cancelled	incomplete	non-success
implement	unreadable	<empty>	incomplete	non-success
implement	auth-failure	success	incomplete	non-success
implement	auth-failure	failure	incomplete	non-success
implement	auth-failure	cancelled	incomplete	non-success
implement	auth-failure	<empty>	incomplete	non-success
implement	<empty>	success	incomplete	non-success
implement	<empty>	failure	incomplete	non-success
implement	<empty>	cancelled	incomplete	non-success
implement	<empty>	<empty>	incomplete	non-success
implement	zzz-unknown-token	success	incomplete	non-success
implement	zzz-unknown-token	failure	incomplete	non-success
implement	zzz-unknown-token	cancelled	incomplete	non-success
implement	zzz-unknown-token	<empty>	incomplete	non-success
review	POSTED review REQUEST_CHANGES	-	verdict-posted	success
review	POSTED review APPROVE	-	verdict-posted	success
review	POSTED review COMMENT	-	verdict-posted	success
review	POSTED comment REQUEST_CHANGES	-	verdict-posted	success
review	POSTED comment APPROVE	-	verdict-posted	success
review	POSTED comment COMMENT	-	verdict-posted	success
review	SKIP not-numeric	-	incomplete	non-success
review	SKIP unknown-event	-	incomplete	non-success
review	SKIP head-not-sha	-	incomplete	non-success
review	SKIP body-file-unreadable	-	incomplete	non-success
review	FAILED no-durable-channel	-	incomplete	non-success
review	FAILED no-durable-channel boom: 500	-	incomplete	non-success
review	NOT-REACHED	-	incomplete	non-success
review	UNESTABLISHED receipt-empty	-	incomplete	non-success
review	UNESTABLISHED receipt-unrecognized-outcome	-	incomplete	non-success
review	REACHED POSTED review APPROVE	-	incomplete	non-success
review	<empty>	-	incomplete	non-success
review	zzz-unknown-token	-	incomplete	non-success
